@RELATION dataset-10-coral

@ATTRIBUTE seq numeric
@ATTRIBUTE rssi numeric
@ATTRIBUTE received {True,False}
@ATTRIBUTE prr numeric
@ATTRIBUTE lqi numeric
@ATTRIBUTE link_num {24,25,26,27,20,21,22,23,28,29,1,0,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18,31,30,35,34,33,32}
@ATTRIBUTE experiment_num {0}
@ATTRIBUTE class {perfect,bad,avg,terrible,good}

@DATA
25,41.0,False,0.4,153.573248724,6,0,avg
26,41.0,False,0.2,150.795905367,6,0,bad
27,41.0,True,0.4,158.0,6,0,avg
28,41.0,False,0.4,159.397015697,6,0,avg
29,41.0,False,0.2,157.890140488,6,0,bad
30,41.0,False,0.2,159.481917714,6,0,bad
31,41.0,False,0.2,152.851517526,6,0,bad
32,41.0,False,0.0,154.266479353,6,0,terrible
33,41.0,False,0.0,154.091859742,6,0,terrible
34,41.0,False,0.0,154.770089299,6,0,terrible
35,41.0,True,0.2,154.0,6,0,bad
36,41.0,True,0.4,152.0,6,0,avg
37,41.0,False,0.4,155.503526305,6,0,avg
38,41.0,False,0.4,148.360405949,6,0,avg
39,41.0,False,0.4,159.009862295,6,0,avg
40,41.0,False,0.2,152.117287411,6,0,bad
41,41.0,False,0.0,152.661128642,6,0,terrible
42,41.0,False,0.0,159.115512204,6,0,terrible
43,41.0,False,0.0,154.996064158,6,0,terrible
44,41.0,False,0.0,151.697493906,6,0,terrible
45,41.0,True,0.2,159.0,6,0,bad
46,41.0,False,0.2,158.367753053,6,0,bad
47,41.0,False,0.2,159.219096668,6,0,bad
48,41.0,False,0.2,159.484566588,6,0,bad
49,41.0,False,0.2,158.511769545,6,0,bad
50,41.0,False,0.0,158.228035162,6,0,terrible
51,41.0,False,0.0,158.220784893,6,0,terrible
52,41.0,False,0.0,158.217757328,6,0,terrible
53,41.0,False,0.0,158.340097556,6,0,terrible
54,41.0,False,0.0,158.600840411,6,0,terrible
55,41.0,False,0.0,157.941019373,6,0,terrible
56,41.0,True,0.2,158.0,6,0,bad
5,46.0,False,0.0,155.689654322,7,0,terrible
6,46.0,True,0.2,156.0,7,0,bad
7,46.0,False,0.2,161.55556417,7,0,bad
8,46.0,False,0.2,157.788929575,7,0,bad
9,46.0,False,0.2,153.629726909,7,0,bad
10,46.0,False,0.2,157.547256342,7,0,bad
11,46.0,False,0.0,159.752185097,7,0,terrible
12,46.0,True,0.2,159.0,7,0,bad
13,46.0,False,0.2,159.929678112,7,0,bad
14,46.0,False,0.2,156.73918334,7,0,bad
15,46.0,False,0.2,158.068940013,7,0,bad
16,46.0,False,0.2,157.252064419,7,0,bad
17,46.0,True,0.2,156.0,7,0,bad
18,46.0,False,0.2,156.489760175,7,0,bad
19,46.0,False,0.2,157.160573884,7,0,bad
20,46.0,False,0.2,157.360786144,7,0,bad
21,46.0,True,0.4,158.0,7,0,avg
22,46.0,False,0.2,162.228862278,7,0,bad
23,46.0,True,0.4,163.0,7,0,avg
24,46.0,False,0.4,158.353273134,7,0,avg
25,46.0,False,0.4,161.162964849,7,0,avg
26,46.0,False,0.2,157.56170943,7,0,bad
27,46.0,False,0.2,154.325040213,7,0,bad
28,46.0,False,0.0,164.129384709,7,0,terrible
29,46.0,False,0.0,158.369973601,7,0,terrible
30,46.0,True,0.2,155.0,7,0,bad
31,46.0,False,0.2,158.027648905,7,0,bad
32,46.0,False,0.2,159.409983509,7,0,bad
33,46.0,False,0.2,157.657887486,7,0,bad
34,46.0,False,0.2,161.708047817,7,0,bad
35,46.0,True,0.2,164.0,7,0,bad
36,46.0,False,0.2,158.164077841,7,0,bad
37,46.0,False,0.2,166.083974669,7,0,bad
38,46.0,False,0.2,161.020773367,7,0,bad
39,46.0,True,0.4,159.0,7,0,avg
40,46.0,False,0.2,158.114870023,7,0,bad
41,46.0,False,0.2,156.60007824,7,0,bad
42,46.0,False,0.2,159.79942284,7,0,bad
43,46.0,False,0.2,156.426915465,7,0,bad
44,46.0,False,0.0,161.91362882,7,0,terrible
45,46.0,False,0.0,158.028856914,7,0,terrible
46,46.0,False,0.0,154.111121075,7,0,terrible
47,46.0,False,0.0,154.69900365,7,0,terrible
48,46.0,False,0.0,156.370831264,7,0,terrible
49,46.0,False,0.0,156.885954115,7,0,terrible
50,46.0,False,0.0,162.031150277,7,0,terrible
51,46.0,False,0.0,157.370455464,7,0,terrible
52,46.0,False,0.0,155.138269329,7,0,terrible
53,46.0,False,0.0,156.789391995,7,0,terrible
54,46.0,False,0.0,158.776866436,7,0,terrible
55,46.0,False,0.0,158.235579286,7,0,terrible
56,46.0,False,0.0,156.154404974,7,0,terrible
5,50.0,True,0.8,156.0,8,0,good
6,49.0,True,0.8,153.0,8,0,good
7,48.9865010425,False,0.6,155.768013916,8,0,avg
8,47.8545075304,False,0.6,151.144986226,8,0,avg
9,48.3274963237,False,0.4,166.010650466,8,0,avg
10,48.0,True,0.4,197.0,8,0,avg
11,50.0,True,0.4,162.0,8,0,avg
12,49.5745205034,False,0.4,154.566426178,8,0,avg
13,49.4992457949,False,0.4,163.58299795,8,0,avg
14,49.0,True,0.6,150.0,8,0,avg
15,49.8306997392,False,0.4,150.250907772,8,0,avg
16,49.0015851996,False,0.2,150.455911976,8,0,bad
17,50.0,True,0.4,154.0,8,0,avg
18,49.0,True,0.6,153.0,8,0,avg
19,49.9154062301,False,0.4,165.860885666,8,0,avg
20,49.6592447326,False,0.4,189.190537198,8,0,avg
21,50.0,True,0.6,177.0,8,0,avg
22,50.0,False,0.4,177.13120408,8,0,avg
23,50.0,True,0.4,176.0,8,0,avg
24,50.0,True,0.6,156.0,8,0,avg
25,48.9504089252,False,0.6,156.465221666,8,0,avg
26,49.0,True,0.6,158.0,8,0,avg
27,50.0,True,0.8,158.0,8,0,good
28,49.8313217865,False,0.6,158.127024773,8,0,avg
29,49.4426700676,False,0.4,157.356911707,8,0,avg
30,49.0,True,0.6,157.0,8,0,avg
31,49.7769166963,False,0.4,159.398890022,8,0,avg
32,50.0,True,0.4,161.0,8,0,avg
33,50.0,True,0.6,159.0,8,0,avg
34,49.0203696971,False,0.6,159.0,8,0,avg
35,49.0,True,0.6,159.0,8,0,avg
36,49.0,True,0.8,155.0,8,0,good
37,49.0,False,0.6,158.101968335,8,0,avg
38,49.0,True,0.6,159.0,8,0,avg
39,50.0,True,0.8,155.0,8,0,good
40,49.8878040703,False,0.6,160.16721614,8,0,avg
41,49.787720151,False,0.4,158.089655349,8,0,avg
42,49.0,True,0.6,161.0,8,0,avg
43,49.0,False,0.4,161.236453207,8,0,avg
44,49.0,False,0.2,160.253311018,8,0,bad
45,49.0,True,0.4,162.0,8,0,avg
46,50.0,True,0.6,153.0,8,0,avg
47,49.3468852007,False,0.4,161.445894193,8,0,avg
48,49.0,True,0.6,160.0,8,0,avg
49,49.0,False,0.6,166.374514377,8,0,avg
